Dish Name,Calories,Proteins,Fats,Carbohydrates,Ingredients,Image,Recipe,Recipe_Images,Preference,Allergies,Dish_type
"Салат с форелью, креветками с тыквенным маслом",126.5 кКал,8.5 г,9 г,2.5 г,"Салат (латук): 50 г; Помидор (томат), грунтовый: 100 г; Огурец грунтовый: 60 г; Перец сладкий зеленый: 60 г; Оливковое масло: 14 г; Петрушка свежая: 10 г; Авокадо: 60 г; Креветки тигровые припущенные на двух маслах с чесноком для салата: 110 г; Форель с/с атлантическая: 80 г; Кедровый орех, сушеный: 20 г; Базилик, свежий: 3 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/638549," 1. Огурец ,помидор, перец, авокадо, масло тыквенное, орешки кедровые, петрушка ;  2. Поливаем тыквенным маслом салатик ;  3. Дольки помидорчика ;  4. Кружочки тоненькие огурчика ;  5. Перчик сладкий ;  6. Авокадо пластинками ;  7. Петрушка ;  8. Креветки ;  9. Кусочки форели слабосоленой ;  10. Кедровые орешки ;  11. Веточки базилика ;  12. Перемешиваем и приятного аппетита. 🥰👍  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/638550; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/638551; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/638552; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/638553; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/638554; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/638555; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/638556; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/638558; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/638559; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/638560; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/638561; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/638563; https://health-diet.ru/people/user/667582/blog/347872/#comments,Блюда из морепродуктов; Овощные блюда,Нет аллергенов,Обед; Ужин
Икра из жёлтого кабачка с луковыми колечками и проростками редиса,85.4 кКал,1.2 г,3.2 г,12.9 г,"Кабачок (Жарка): 331 г; Соль поваренная пищевая: 1 г; Сахар песок: 10 г; Помидор (томат), парниковый (Жарка): 32 г; Лук репчатый (Жарка): 11 г; Оливковое масло: 5 г; Паприка, перец сладкий молотый: 0.5 г; Куркума, молотая: 0.5 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639061, 1.        ;  2.        ;  3.        ;  4.        ;  5.        ;  6.        ;  7.        ;  8.        ;  9.        ;  10.        ;  11.        ;  12.        ;  13.        ;  14.         ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639062; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639063; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639064; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639065; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639066; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639067; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639068; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639074; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639075; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639076; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639078; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639079; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639080; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639082; https://health-diet.ru/people/user/683447/blog/347884/#comments,Русская Кухня; Овощные блюда,Нет аллергенов,Завтрак; Обед; Ужин
Апероль Шприц,129 кКал,0.4 г,0 г,15.1 г,"Вина ликерные: 200 г; Газированный напиток, тоник: 40 г; Вина полусухие белые и красные (в т. ч. шампанское): 200 г; Апельсин: 30 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639096, 1. Попробоватт                            ,https://health-diet.ru/people/user/627209/blog/347892/#comments,Обычное блюдо,Цитрусовые,Неопределено
Творожное мороженое,108.2 кКал,10.9 г,2 г,10.7 г,"Творог обезжиренный, 0,6% жирности: 100 г; Банан: 2 Штука; Йогурт 1,5% жирности, 4,1% белка, натуральный: 1 Стакан 250 мл; Белковая добавка, на основе молока, Muscle Milk Light, порошок: 50 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639159," 1. Берём блендер. Можно и погружным, но лучше стаканчик.                           ;  2. Закидываем в блендер все ингредиенты.                           ;  3. Делаем долгий вжух. До мягкой консистенции, без крупинок творога.                           ;  4. Разливаем по формочкам. Убираем в морозилку. Ждём ночь.                            ",https://health-diet.ru/people/user/827720/blog/347907/#comments,Кисломолочная продукция,Лактоза,Неопределено
"Макароны с котлетой, огурцами и луком",0 кКал,0 г,0 г,0 г,"Паста (макароны, спагетти), сухая: 200 г; Говядина, фарш, 85% постного мяса/ 15% жира, сырая: 150 г; Лук репчатый: 100 г; Огурец парниковый: 100 г; Томатная паста. Консервы: 10 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639198," 1. Приготовить огурец макароны и котлету ;  2. Приготовьте макароны, я взял твёрдых сортов из фикс прайса за 30 с лишним руб  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639199; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639200; https://health-diet.ru/people/user/818892/blog/347922/#comments,Русская Кухня; Мясные блюда; Овощные блюда,Глютен; Лактоза,Обед; Ужин
Круассан с огурцом и яйцом,204.7 кКал,8.4 г,12.9 г,12.8 г,"Круассаны, сливочные: 72 г; Яйцо куриное вареное вкрутую: 60 г; Огурец грунтовый: 48 г; Айсберг (салат кочанный): 25 г; Руккола: 3 г; Сыр намазка: 30 г; Брынза из коровьего молока, м.д.ж. 40% в сух. в-ве: 30 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639224," 1. Любой хлеб я всегда обжариваю в печке-тостере пять минут. Если хлеб свежий, это придает хруст и корочку, если немного полежавший - отлично его освежает и тоже добавляет хруста и ощущения свежеиспеченного. Итак, подготовила все составляющие - отварила яйцо, подрумянила круассан, помыла зелень и огурец. ;  2. Промазываю половинки круассана сыром-намазкой (сливочный сыр в коробке), выкладываю сверху на одну половину - брынзу, айсберг, нарезанное яйцо и огурец, на другую - зелень. ;  3. Соединяю половинки, слегка придавливаю и наслаждаюсь вкусом, ароматом и хрустом!  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639226; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639228; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639229; https://health-diet.ru/people/user/314909/blog/347930/#comments,Хлебобулочные изделия; Овощные блюда,Глютен; Лактоза; Яйцо,Завтрак; Перекус
"Салат из патиссон с яйцом, луком, машем, проростками редиса",74.6 кКал,4.4 г,4.5 г,4.3 г,"Патиссон: 153 г; Лук сладкий, сырой: 27 г; Сметана 15% жирности: 50 г; Горчица столовая: 1 г; Кетчуп: 10 г; Соль поваренная пищевая: 1 г; Перец черный,  молотый или горошек: 0.2 г; Паприка, перец сладкий молотый: 0.5 г; Куркума, молотая: 0.5 г; Яичный желток куриный (Варка): 24 г; Яичный белок куриный (Варка): 76 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639251, 1.        ;  2.        ;  3.        ;  4.        ;  5.        ;  6.        ;  7.        ;  8.        ;  9.        ;  10.        ;  11.        ;  12.        ;  13.        ;  14.         ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639237; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639238; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639239; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639240; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639241; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639242; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639243; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639244; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639245; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639246; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639247; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639248; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639249; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639250; https://health-diet.ru/people/user/683447/blog/347934/#comments,Русская Кухня; Овощные блюда,Нет аллергенов,Завтрак; Обед; Ужин; Перекус
Кабачковые оладьи с сыром,206.1 кКал,9.3 г,13.6 г,11.6 г,"Кабачок (Жарка): 304 г; Яйцо куриное (Жарка): 1 С0; Сыр гауда, твёрдый голландский сыр, м.д.ж. 47% в сух. в-ве: 83 г; Овсяная мука (Жарка): 50 г; Подсолнечное масло: 20 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639264," 1. Молодой кабачок натереть на средней тёрке. Посолить, немного дать постоять. Отжать воду. ;  2. Твёрдый сыр натереть на мелкой терке ;  3. Все ингредиенты смешать и обжаривать на небольшом количестве масла, на среднем огне. Тарелку выстрелить бумагой, чтоб излишки масла убрать.  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639253; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639254; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639256; https://health-diet.ru/people/user/788805/blog/347946/#comments,Русская Кухня; Овощные блюда,Глютен; Лактоза; Яйцо,Завтрак; Обед; Ужин
"Икра из кабачка,  репчатого  лука, с проростками редиса",99.5 кКал,1.3 г,6 г,10.2 г,"Кабачок (Жарка): 300 г; Лук репчатый (Жарка): 100 г; Оливковое масло: 15 г; Кетчуп: 25 г; Соль поваренная пищевая: 3 г; Сахар песок: 3 г; Уксус столовый 9%: 3 г; Паприка, перец сладкий молотый: 0.5 г; Куркума, молотая: 0.5 г; Перец черный,  молотый или горошек: 0.2 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639352, 1.        ;  2.        ;  3.        ;  4.        ;  5.        ;  6.        ;  7.        ;  8.        ;  9.        ;  10.        ;  11.         ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639354; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639357; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639359; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639362; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639363; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639365; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639368; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639369; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639370; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639373; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639374,Овощные блюда,Нет аллергенов,Завтрак; Обед; Ужин
"Блинчик с креветкой, творожным сливочным сыром и авокадо под устричным соусом",173.9 кКал,7.4 г,11.9 г,8.8 г,"Блинчики ""Алька"": 40 г; Креветки припущенные с имбирем,чесноком с кунжутным маслом: 50 г; Сыр сливочный 34,4% жирности, м.д.ж. 73% в сух. в-ве: 30 г; Авокадо: 50 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637331, 1. На блинчик намазываем сливочный сыр и кладем сверху креветки ;  2. Авокадо ;  3. Закрываем с двух сторон ;  4. Поливаем устричным соусом ;  5. Приятного аппетита😋  ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637332; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637333; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637334; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637335; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637336; https://health-diet.ru/people/user/667582/blog/347986/#comments,Блюда из морепродуктов; Кисломолочная продукция; Хлебобулочные изделия,Морепродукты,Завтрак; Перекус
Суп овощной с куриной грудкой,31.3 кКал,4.6 г,0.5 г,2 г,"Бульон куриный с овощами  ""Алька"": 1000 г; Куриная грудка (филе) (Варка): 140 г; Морковь (Варка без слива): 50 г; Лук репчатый (Варка без слива): 20 г; Перец сладкий зеленый (Варка без слива): 80 г; Цветная капуста (Варка без слива): 100 г; Брокколи (Варка без слива): 100 г; Помидор (томат), грунтовый (Варка без слива): 70 г; Петрушка свежая (Варка без слива): 10 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637354," 1. Грудку отбиваем в фарш ;  2. Размешиваем в холодной воде или бульоне ;  3.        ;  4. Доводим до кипения ;  5. Овощи моем, чистим, режем ;  6. Добавляем в бульон кипящий ;  7. Варим, минут 15-20, добавляем, зелень петрушки ;  8. Приятного аппетита😊  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637349; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637350; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637351; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637352; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637353; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637355; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637356; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637357; https://health-diet.ru/people/user/667582/blog/347991/#comments,Русская Кухня; Мясные блюда; Овощные блюда,Нет аллергенов,Обед; Ужин
Запеканка из капусты - цветной и брокколи,78.7 кКал,5 г,4.7 г,3.7 г,"Цветная капуста отварная по 1-210: 450 г; Брокколи, вареная, с солью: 255 г; Шампиньоны (Жарка): 316 г; Лук репчатый (Припускание): 47 г; Чеснок (Припускание): 10 г; Яйцо куриное (Запекание): 385 г; Молоко 2,5% жирности, пастеризованное (Запекание): 295 г; Рисовая мука, белая: 16 г; Вода: 35 г; Подсолнечное масло: 16 г; Масло сливочное 72,5% жирности, крестьянское: 16 г; Укроп (Запекание): 20 г; Зелень кориандра (кинза), сырая: 16 г; Соль поваренная пищевая: 1 г; Перец черный,  молотый или горошек: 0.5 г; Орегано, сушеный: 1 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639439," 1. Сначала подготовим все продукты, все помоем, почистим, просушим. Грибы можно не брать, но в этот раз мне захотелось немного добавить, взяла совсем чуть чуть королевских шампиньонов. Вес в рецепте - чистый, после чистки и обрезки ножек. ;  2. Первыми жарю грибы. Режу их крупными кусками, если гриб небольшой - на четыре части, если крупнее - ножку отдельно на две части, шляпку - крупной нарезкой на 6-8 частей. ;  3. На сковородку наливаю растительное масло и почти всегда, для вкуса, кладу в него сливочное. Но обязательно - в растительное, когда оно прогрелось, кладем сливочное, не наоборот. Сливочное масло, все же, добавляет особенный шарм любому блюду. ;  4. В масло кладем измельченный лук с чесноком, и минуты полторы перемешиваем на сильном огне, после этого добавляем грибы, из них должна выпариться жидкость, и румяним их почти до готовности. ;  5. Кипятим воду и бланшируем капусту, разобранную на соцветия, минут 5. Воду я всегда хорошо солю, чтобы капуста в блюдах потом не была пресной. ;  6. Взбиваем отдельно яйца с молоком и рисовой мукой, добавляем специи, соль, перец по вкусу. В этот раз использовала итальянские травы, их я предпочитаю для овощных блюд. Шинкуем зелень и начинаем собирать террин в таре, в которой будем запекать. ;  7. Выкладываю капусту мозаикой, в промежутках заполняю грибами. Присыпаю зеленью и после этого - заливаем яичной смесью, накрываем фольгой и ставим, в предварительно прогретую духовку до 160-180 градусов, запекаться до готовности. Т.к. все овощи, практически готовы, то готовность будет тогда, когда запеклась яичная заливка. Наблюдайте, чтобы не подгорело дно. Если нужно, можно уменьшить температуру после 15 минут приготовления, и довести на более низкой температуре. ;  8. Подавать можно, как холодным, так и горячим, в качестве основного блюда, либо, как гарнир к мясу, птице или рыбе. Отлично сочетается с салатом из свежих овощей, белым соусом и сыром.  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639440; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639441; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639445; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639446; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639447; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639449; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639450; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639451; https://health-diet.ru/people/user/314909/blog/348015/#comments,Русская Кухня; Овощные блюда,Глютен; Яйцо; Грибы,Завтрак; Обед; Ужин
Суп сырный Дружба,107.7 кКал,5.7 г,6.6 г,6.4 г,"Бульон куриный с овощами  ""Алька"": 1000 г; Картофель (Варка без слива): 450 г; Морковь (Варка без слива): 100 г; Лук репчатый (Припускание): 100 г; Сыр плавленный (мягкий спред) американский, 21,2% жирности, м.д.ж. 41% в сух. в-ве: 130 г; Сыр плавленый, российский, м.д.ж. 45% в сух. в-ве: 170 г; Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 20 г; Оливковое масло: 20 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637495," 1. Картофель чистим, моем ;  2. Режем ;  3. Морковь и лук ;  4. Пропускаем на двух маслах ;  5. Все овощи закладываем в кипящую воду или бульон, варим до готовности минут 15-20 ;  6. Плавленный и сливочный сыр ;  7. Режем сырок для лучшего расстворения ;  8. Кидаем в супчик ;  9. Добавляем сливочный сыр ;  10. Пробиваем блендером, добавляем лаврушку, специи по вкусу ;  11. С тигровыми креветками.  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637496; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637497; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637498; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637499; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637500; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637501; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637502; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637503; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637504; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637505; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637506; https://health-diet.ru/people/user/667582/blog/348019/#comments; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639591; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639592; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639593,Русская Кухня,Лактоза,Обед; Ужин
Икра из патиссон,79.4 кКал,1 г,4.1 г,10 г,"Патиссон (Жарка): 400 г; Оливковое масло: 15 г; Кетчуп: 25 г; Соль поваренная пищевая: 4 г; Сахар песок: 12 г; Паприка, перец сладкий молотый: 0.5 г; Куркума, молотая: 0.5 г; Лук репчатый (Жарка): 30 г; Морковь (Жарка): 30 г; Перец сладкий красный (Тушение): 30 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639608, 1.        ;  2.        ;  3.        ;  4.        ;  5.        ;  6.        ;  7.        ;  8.        ;  9. Готовая икра из патиссон. ;  10. Украсила проростками редиса.  ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639609; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639610; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639611; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639612; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639613; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639614; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639615; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639616; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639617; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639619; https://health-diet.ru/people/user/683447/blog/348087/#comments,Русская Кухня; Блюда из морепродуктов; Овощные блюда,Нет аллергенов,Завтрак; Обед; Ужин; Перекус
"Блинчик с форелью, авокадо, сливочным сыром, огурчиком",148.3 кКал,8.4 г,9.5 г,6.2 г,"Блинчики ""Алька"": 41 г; Сыр сливочный 34,4% жирности, м.д.ж. 73% в сух. в-ве: 30 г; Авокадо: 60 г; Форель с/с атлантическая: 80 г; Огурец грунтовый: 50 г; Базилик, свежий: 3 г; Сок лимонный: 5 г; Перец черный,  молотый или горошек: 1 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637341," 1. На блинчик кладем сливочный сыр ;  2. Форель с/с ;  3. Закрываем ;  4. Разрезаем , добавляем огурец и авокадо ;  5. Поливаем авокадо лимонным соком и присыпаем перчиком молотым ;  6. Приятного аппетита  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637342; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637343; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637344; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637345; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637346; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/637347; https://health-diet.ru/people/user/667582/blog/348097/#comments,Русская Кухня; Блюда из морепродуктов; Овощные блюда,Глютен; Лактоза; Морепродукты; Яйцо,Завтрак; Перекус
Салат с помидором и базиликом,107.2 кКал,2.8 г,9.2 г,2.9 г,"Помидор (томат), грунтовый: 195 г; Огурец грунтовый: 40 г; Айсберг (салат кочанный): 130 г; Сыр фета, м.д.ж. 48% в сух. в-ве: 68 г; Оливки (маслины чёрные). Консервы: 30 г; Оливки зеленые, маринованные, консервированные: 20 г; Базилик, свежий: 24 г; Оливковое масло: 26 г; Соль поваренная пищевая: 0.3 г; Перец черный,  молотый или горошек: 0.3 г; Сок лимонный: 1 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639642," 1. Подготавливаем овощи. Огурцы у меня закончились, поэтому и получилось его так мало, завалялся один малюсенький. Моем, чистим, что нужно. ;  2. Режу крупно, на манер греческого. Айсберг всегда предпочитаю рвать руками. ;  3. Перемешиваю все до того, как добавляю заправку - масло, соль, специи. Сегодня кроме перца/соли/масла, толики лимонного сока и капли бальзамика, ничего не добавляла лишнего. Очень интенсивный аромат базилика. ;  4. Заправляю, перемешиваю аккуратно еще раз, наслаждаюсь вкусом лета!  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639638; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639639; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639640; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639641,Русская Кухня; Овощные блюда,Нет аллергенов,Обед; Ужин
"Перец, фаршированный индейкой и перловкой, в томатном соке",77.9 кКал,7.9 г,0.8 г,9.5 г,"Перец сладкий зеленый (Мытьё, нарезка): 1700 г; Индейка, только мясо: 800 г; Перловая крупа (Варка без слива вязкая): 200 г; Лук репчатый (Мытьё, нарезка): 200 г; Томатное пюре. Консервы: 100 г; Соль поваренная пищевая: 12 г; Перец душистый, молотый: 5 г; Лавровый лист: 1 г; Томатный сок с солью, консервированный: 1000 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639771," 1. Перловку промыть, залить водой и оставить для набухания как минимум на 1 час (обычно я оставляю на ночь).                           ;  2. Приготовить начинку для перца: в фарш из индейки и лука добавить перловку, яйцо, соль, перец (по вкусу), томатную пасту. Всё тщательно перемешать.                           ;  3. Перец вымыть и подготовить для фаршировки, удалив сердцевину с семенами.                           ;  4. Нафаршировать перец мясной начинкой, сложить в глубокую посуду (у меня казан), залить томатным соком, добавить лавровый лист. Поставить емкость на огонь, дождаться закипания и тушить на медленном огне в среднем 40 минут. Подавать горячим.                            ",https://health-diet.ru/people/user/797162/blog/348152/#comments,Русская Кухня; Мясные блюда; Овощные блюда,Нет аллергенов,Ужин
Патиссоны в кунжутном кляре с помидорами и сыром,73.5 кКал,3.1 г,3.9 г,6.6 г,"Кунжут: 10 г; Яйцо куриное (Жарка): 45 г; Соль поваренная пищевая: 1 г; Рисовая мука, белая: 10 г; Паприка, перец сладкий молотый: 0.5 г; Куркума, молотая: 0.5 г; Патиссон (Жарка): 300 г; Помидор (томат), парниковый: 95 г; Сметана 15% жирности: 30 г; Чеснок (Жарка): 1 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639803, 1.        ;  2.        ;  3.        ;  4.        ;  5.        ;  6.        ;  7.        ;  8.        ;  9.        ;  10.        ;  11.        ;  12.        ;  13.        ;  14.        ;  15.        ;  16.         ,https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639804; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639806; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639807; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639808; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639809; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639811; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639812; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639813; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639816; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639817; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639818; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639819; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639821; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639822; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639823; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639824,Хлебобулочные изделия; Овощные блюда,Нет аллергенов,Обед; Ужин
Печенье овсяное,424.9 кКал,13.1 г,25.7 г,35.4 г,"Грецкий орех: 100 г; Овсяные хлопья ""геркулес"" (Жарка): 200 г; Пшеничная мука, высшего сорта (Запекание): 100 г; Яйцо куриное (Запекание): 3 С0; Молоко 2,5% жирности, пастеризованное (Запекание): 100 г; Подсолнечное масло: 50 г; Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), с низким содерж. натрия: 1 tsp; Соль поваренная пищевая: 2.5 г",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639887," 1. Обжариваем грецкие орехи в микроволновке в течение 2 минут. Слегка дробим, не слишком мелко. Обжариваем Геркулес на сковородке, до золотистого цвета. Смешиваем с мукой, разрыхлителем, солью, подсластителем. Можно добавить специи( ванилин, корица, да все что нравится). ;  2. Добавляем молоко, масло, яйца. Перемешиваем. Получается густое тесто. Выкладываем на пергамент. У меня получилось 7 печенек, люблю большие. ;  3. Выпекаем 30 минут, при температуре 180°.  ",https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639877; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639878; https://fs2.tvoydnevnik.com/api2/image/getById/101/file/639884,Хлебобулочные изделия,Яйцо; Орехи,Завтрак; Перекус
